Name,Link,MRP,DiscountedPrice,DiscountPercent
Organic - Byadagi Chilli Whole,https://www.bigbasket.com/pd/40176641/bb-royal-organic-byadagi-chilli-whole-200-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,199,173,13
Saffola Gold - Pro Healthy Lifestyle Edible Oil 2x5L Jar + BB Popular Sugar 5kg,https://www.bigbasket.com/pd/1208231/bb-combo-saffola-gold-pro-healthy-lifestyle-edible-oil-2x5l-jar-bb-popular-sugar-5kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,0,Rs,0
Walnut/Akhrot - Kernels,https://www.bigbasket.com/pd/10000537/bb-popular-walnutakhrot-kernels-chile-200-g-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,360,278,23
Iodised Crystal Salt/Uppu,https://www.bigbasket.com/pd/40017970/tata-salt-iodised-crystal-salt-1-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,22,17.50,20
Besan Fine/Kadale Hittu,https://www.bigbasket.com/pd/30000155/bb-royal-besan-flour-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,150,90,40
Organic Black Pepper/Kari Menasui,https://www.bigbasket.com/pd/40072464/bb-royal-organic-black-pepperkali-mirchi-100-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,120,99,18
Organic Black Pepper/Kari Menasui,https://www.bigbasket.com/pd/40072464/bb-royal-organic-black-pepperkali-mirchi-100-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,120,99,18
Raisins/Ona Drakshi - Indian,https://www.bigbasket.com/pd/40021404/bb-popular-raisinskishmish-indian-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,500,293,41
HMT Kolam Rice/Akki,https://www.bigbasket.com/pd/30000226/bb-royal-hmt-kolam-rice-10-kg-bag/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,800,621,22
HMT Kolam Rice/Akki,https://www.bigbasket.com/pd/30010022/bb-royal-hmt-kolam-rice-25-kg-bag/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,2000,1550,23
Organic Jaggery/Bella Powder,https://www.bigbasket.com/pd/40186969/bb-royal-organic-jaggery-powder-1-kg-jar/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,189,106,44
Pure Ghee,https://www.bigbasket.com/pd/1212854/fresho-pure-ghee-2x1-l/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,1600,1375,14
